State,year,month,PRCP,EVAP,TMIN,TMAX,mean_elevation,Land Area (sq mi),Water Area (sq mi),Total Area (sq mi),Percentage of Federal Land,Urbanization Rate (%),total_fire_size
AK,1992,4,21.221558559927082,50.93134133373842,10.677198845511166,328.0469390855233,580,570641,94743,665384,0.609,64.9,10.1
AK,1992,5,5.36,44.17,-56.0,233.0,580,570641,94743,665384,0.609,64.9,4309.5
AK,1992,6,14.03,39.27,-17.0,322.0,580,570641,94743,665384,0.609,64.9,86460.6
AK,1992,7,16.78,30.91,28.0,300.0,580,570641,94743,665384,0.609,64.9,48578.5
AK,1992,8,10.46,20.14,-33.0,267.0,580,570641,94743,665384,0.609,64.9,3321.8
AK,1992,9,17.25,15.27,-61.0,183.0,580,570641,94743,665384,0.609,64.9,35.8
AK,1992,10,21.221558559927082,50.93134133373842,10.677198845511166,328.0469390855233,580,570641,94743,665384,0.609,64.9,1.1
AK,1993,4,21.221558559927082,50.93134133373842,10.677198845511166,328.0469390855233,580,570641,94743,665384,0.609,64.9,145.3
AK,1993,5,8.08,40.4,-11.0,278.0,580,570641,94743,665384,0.609,64.9,4272.6
AK,1993,6,11.26,38.28,-11.0,294.0,580,570641,94743,665384,0.609,64.9,197940.9
AK,1993,7,6.08,38.23,28.0,328.0,580,570641,94743,665384,0.609,64.9,483664.8
AK,1993,8,19.1,21.57,-22.0,256.0,580,570641,94743,665384,0.609,64.9,1164.3
AK,1993,9,31.32,10.87,-94.0,217.0,580,570641,94743,665384,0.609,64.9,3.5
AK,1993,10,21.221558559927082,50.93134133373842,10.677198845511166,328.0469390855233,580,570641,94743,665384,0.609,64.9,0.1
AK,1994,3,21.221558559927082,50.93134133373842,10.677198845511166,328.0469390855233,580,570641,94743,665384,0.609,64.9,200.1
AK,1994,4,21.221558559927082,50.93134133373842,10.677198845511166,328.0469390855233,580,570641,94743,665384,0.609,64.9,9.3
AK,1994,5,1.61,44.26,-17.0,228.0,580,570641,94743,665384,0.609,64.9,1198.5
AK,1994,6,22.89,37.19,-17.0,311.0,580,570641,94743,665384,0.609,64.9,184553.7
AK,1994,7,7.79,33.98,0.0,311.0,580,570641,94743,665384,0.609,64.9,50603.5
AK,1994,8,13.58,23.96,-28.0,317.0,580,570641,94743,665384,0.609,64.9,24187.3
AK,1994,9,12.83,14.29,-94.0,211.0,580,570641,94743,665384,0.609,64.9,210.8
AK,1994,10,21.221558559927082,50.93134133373842,10.677198845511166,328.0469390855233,580,570641,94743,665384,0.609,64.9,1001.7
AK,1995,3,21.221558559927082,50.93134133373842,10.677198845511166,328.0469390855233,580,570641,94743,665384,0.609,64.9,2.1
AK,1995,4,21.221558559927082,50.93134133373842,10.677198845511166,328.0469390855233,580,570641,94743,665384,0.609,64.9,846.5
AK,1995,5,8.36,34.19,-39.0,294.0,580,570641,94743,665384,0.609,64.9,9460.8
AK,1995,6,12.83,35.43,-22.0,289.0,580,570641,94743,665384,0.609,64.9,5671.7
AK,1995,7,20.91,30.64,17.0,283.0,580,570641,94743,665384,0.609,64.9,27888.2
AK,1995,8,17.98,20.5,0.0,256.0,580,570641,94743,665384,0.609,64.9,3.5
AK,1995,9,15.4,16.95,-44.0,250.0,580,570641,94743,665384,0.609,64.9,18.8
AK,1995,10,7.67,6.0,-22.0,106.0,580,570641,94743,665384,0.609,64.9,70.2
AK,1995,12,21.221558559927082,50.93134133373842,10.677198845511166,328.0469390855233,580,570641,94743,665384,0.609,64.9,0.3
AK,1996,3,21.221558559927082,50.93134133373842,10.677198845511166,328.0469390855233,580,570641,94743,665384,0.609,64.9,2.5
AK,1996,4,21.221558559927082,50.93134133373842,10.677198845511166,328.0469390855233,580,570641,94743,665384,0.609,64.9,206.9
AK,1996,5,2.25,45.07,-6.0,244.0,580,570641,94743,665384,0.609,64.9,92692.0
AK,1996,6,9.09,40.92,-22.0,289.0,580,570641,94743,665384,0.609,64.9,446381.2
AK,1996,7,12.99,31.46,17.0,283.0,580,570641,94743,665384,0.609,64.9,56220.7
