State,year,month,PRCP,EVAP,TMIN,TMAX,mean_elevation,Land Area (sq mi),Water Area (sq mi),Total Area (sq mi),Percentage of Federal Land,Urbanization Rate (%),t2m,d2m,u10,v10,lai_hv,lai_lv,total_fire_size
AK,1992,4,21.221558559927082,50.93134133373842,10.677198845511166,328.0469390855233,580,570641,94743,665384,0.609,64.9,285.4702336890276,278.21611186820286,0.44917754885853245,0.27824877913993035,2.307162475008076,1.322206309908474,10.1
AK,1992,5,5.36,44.17,-56.0,233.0,580,570641,94743,665384,0.609,64.9,279.67841666666664,270.50358666666665,0.66815363,-0.02691684333333333,1.6713284333333334,0.6558671,4309.5
AK,1992,6,14.03,39.27,-17.0,322.0,580,570641,94743,665384,0.609,64.9,288.32796666666667,280.73651,1.0058583766666667,0.7548478533333333,2.239277433333333,1.2102866666666667,86460.6
AK,1992,7,16.78,30.91,28.0,300.0,580,570641,94743,665384,0.609,64.9,291.47006000000005,285.46317,0.7436279999999998,0.33605792333333334,3.6546315333333332,0.7603084466666666,48578.5
AK,1992,8,10.46,20.14,-33.0,267.0,580,570641,94743,665384,0.609,64.9,282.78424666666666,277.30769000000004,0.7414959200000001,0.34641725,2.4017528333333336,0.8038416646666665,3321.8
AK,1992,9,17.25,15.27,-61.0,183.0,580,570641,94743,665384,0.609,64.9,276.10962,272.44019333333335,-0.07753420666666667,0.2743195726666667,1.8941274333333336,1.1999464466666667,35.8
AK,1992,10,21.221558559927082,50.93134133373842,10.677198845511166,328.0469390855233,580,570641,94743,665384,0.609,64.9,285.4702336890276,278.21611186820286,0.44917754885853245,0.27824877913993035,2.307162475008076,1.322206309908474,1.1
AK,1993,4,21.221558559927082,50.93134133373842,10.677198845511166,328.0469390855233,580,570641,94743,665384,0.609,64.9,285.4702336890276,278.21611186820286,0.44917754885853245,0.27824877913993035,2.307162475008076,1.322206309908474,145.3
AK,1993,5,8.08,40.4,-11.0,278.0,580,570641,94743,665384,0.609,64.9,283.86937666666665,275.38751333333335,0.7511090166666667,0.201086095,2.0859166333333334,1.10813976,4272.6
AK,1993,6,11.26,38.28,-11.0,294.0,580,570641,94743,665384,0.609,64.9,285.86943333333335,278.10020333333335,0.5014779066666667,0.35854973333333334,2.3319079666666664,1.60692389,197940.9
AK,1993,7,6.08,38.23,28.0,328.0,580,570641,94743,665384,0.609,64.9,289.89515,283.98124666666666,0.4322341086666666,0.022897297,3.7097511,0.7858184633333334,483664.8
